ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
1746,7,47,169,210,NAO,ASSINANTE,M,24.12.1956 00:00:00,
3154,83,54,37,116,SIM,ASSINANTE,M,01.01.1900 00:00:00,
3707,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
772,0,4,3,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
982,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2266,0,0,0,0,NAO,ASSINANTE,F,25.11.1977 00:00:00,DE 4SM ATE 8SM
583,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
831,4,12,9,13,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2212,23,25,11,42,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2294,1,4,4,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,ACIMA DE 25SM
357,54,37,37,10,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
2780,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
2997,0,1,2,0,NAO,ASSINANTE,M,06.05.1985 00:00:00,DE 8SM ATE 14SM
3074,0,14,6,1,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
3148,3,4,3,0,NAO,ASSINANTE,M,14.05.1976 00:00:00,DE 3SM ATE 4SM
1034,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
3442,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
1255,0,32,11,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
2547,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3306,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
828,0,0,0,0,NAO,ASSINANTE,M,06.09.1989 00:00:00,DE 4SM ATE 8SM
1143,0,6,9,2,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
2776,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
3665,0,1,1,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
820,0,32,71,35,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
3440,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
3552,3,4,4,0,NAO,ASSINANTE,M,04.03.1996 00:00:00,DE 8SM ATE 14SM
1140,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
3533,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
2407,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2577,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
433,0,2,3,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3423,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
550,1,54,6,499,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
528,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2110,18,7,6,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3424,1,4,1,6,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
803,3,12,14,5,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2497,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3163,18,4,3,12,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
1375,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 14SM ATE 25SM
1805,0,6,5,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
2923,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
2965,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2346,51,25,19,110,SIM,ASSINANTE,M,01.01.1900 00:00:00,
145,296,52,0,543,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
2677,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
2400,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
1233,0,0,0,0,NAO,ASSINANTE,M,31.12.1985 00:00:00,DE 3SM ATE 4SM
1967,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
893,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
1825,0,5,5,5,NAO,ASSINANTE,F,01.01.1900 00:00:00,
1914,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
3,0,24,52,37,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3398,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
95,4,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2165,9,58,191,3,NAO,ASSINANTE,F,29.05.1988 00:00:00,DE 8SM ATE 14SM
135,25,35,0,153,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2403,28,13,21,1,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3681,0,10,1,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
2324,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3044,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2175,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
1930,6,6,9,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2987,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
1527,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 2SM ATE 3SM
2546,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2424,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
1416,0,4,4,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
3162,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1944,1,1,0,12,SIM,ASSINANTE,M,29.10.1992 00:00:00,DE 14SM ATE 25SM
1803,17,46,12,130,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2259,7,18,16,11,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1311,22,4,2,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
2207,0,2,1,1,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 2SM ATE 3SM
1261,3,59,560,335,SIM,ASSINANTE,M,01.01.1900 00:00:00,
271,12,27,19,18,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
1566,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
1111,6,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
3253,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
619,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
1579,2,23,6,42,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2947,35,5,1,10,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
636,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
159,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
912,40,55,21,100,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1195,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 14SM ATE 25SM
3451,23,3,0,34,SIM,ASSINANTE,M,01.01.1900 00:00:00,
3146,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
2688,15,18,15,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
933,0,0,0,0,NAO,ASSINANTE,M,10.06.1990 00:00:00,DE 3SM ATE 4SM
2990,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
1506,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
34,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
634,11,51,101,356,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2722,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
3071,38,41,71,20,NAO,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
2499,0,0,0,0,NAO,ASSINANTE,F,12.05.1982 00:00:00,
2536,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
250,47,40,50,29,NAO,ASSINANTE,M,01.01.1900 00:00:00,
417,22,26,25,103,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 4SM ATE 8SM
1327,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
980,28,56,170,335,NAO,ASSINANTE,M,01.01.1900 00:00:00,
3182,14,4,3,25,SIM,ASSINANTE,F,01.01.1900 00:00:00,DE 4SM ATE 8SM
2478,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,DE 8SM ATE 14SM
1376,0,0,0,0,NAO,ASSINANTE,M,01.01.1900 00:00:00,
346,15,5,0,84,SIM,ASSINANTE,F,01.01.1900 00:00:00,DE 3SM ATE 4SM
1759,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
691,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
2963,120,59,0,725,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 8SM ATE 14SM
485,126,58,387,61,SIM,ASSINANTE,M,01.01.1900 00:00:00,DE 3SM ATE 4SM
2221,0,1,1,0,NAO,ASSINANTE,M,,
3390,0,0,0,0,NAO,ASSINANTE,M,25.07.2007 00:00:00,
524,0,0,0,0,NAO,ASSINANTE,F,01.01.1900 00:00:00,
